0
B0=F
BZ=F
CC=F
CL=F
CT=F
ES=F
GC=F
GF=F
HE=F
HG=F
HO=F
KC=F
KE=F
LBS=F
LE=F
MGC=F
NG=F
NQ=F
OJ=F
PA=F
PL=F
RB=F
RTY=F
SB=F
SI=F
SIL=F
YM=F
ZB=F
ZC=F
ZF=F
ZL=F
ZM=F
ZN=F
ZO=F
ZR=F
ZS=F
ZT=F
